語, 品詞, 総数
石油系鉱物油, 複合語, 1
海洋深層水使用, 複合語, 1
薄月つき, 複合語, 1
これから, 副詞, 1
筆, 名詞, 1
いしもち, 名詞, 1
妹, 名詞, 1
かる, 動詞, 1
100%オイルカット, 複合語, 1
形態, 名詞, 1
帰る, 動詞, 1
普通の, 複合語, 1
適量乾燥, 複合語, 1
度, 名詞, 1
下着, 名詞, 1
ぁまぁかえるねだん, 名詞, 1
ところドラッグストア, 複合語, 1
におう, 動詞, 1
夏冬両用, 複合語, 1
カウンセリング, 名詞, 1
多く, 名詞, 1
お手ごろ値段, 複合語, 1
ツッパリ感, 複合語, 1
極め, 名詞, 1
こむ, 動詞, 1
老化, 名詞, 1
uvカット, 複合語, 1
美容部員さん, 複合語, 1
個人配達, 複合語, 1
噴霧, 名詞, 1
鮮やか, 名詞, 1
向く, 動詞, 1
粉末タイプ, 複合語, 1
密着効果, 複合語, 1
ホワイトニング機能, 複合語, 1
周囲, 名詞, 1
どろどろ, 名詞, 1
つくし, 名詞, 1
メイク落とし, 複合語, 1
ファンデー, 複合語, 1
仕上り時間, 複合語, 1
材料, 名詞, 1
オールシーズン共用, 複合語, 1
汗水, 名詞, 1
点UVカット使用, 複合語, 1
オイルフリー処方, 複合語, 1
アレルギーテスト済, 複合語, 1
サービス, 名詞, 1
ブランド全体, 複合語, 1
出具合, 複合語, 1
無, 名詞, 1
以外, 名詞, 1
再利用, 複合語, 1
短い, 形容詞, 1
カネボウ化粧品, 複合語, 1
自然つき, 複合語, 1
ネットショップ, 複合語, 1
高級そう, 複合語, 1
ハイドロキノン誘導体配合, 複合語, 1
クリームファン, 複合語, 1
手抜き, 名詞, 1
冷たい, 形容詞, 1
漢方薬, 名詞, 1
ヒット, 名詞, 1
大変満足, 複合語, 1
難しい, 形容詞, 1
フレッシェル, 名詞, 1
/, 名詞, 1
店舗, 名詞, 1
春, 名詞, 1
それから, 接続詞, 1
カネボウ商品, 複合語, 1
シーズン毎, 複合語, 1
夜, 名詞, 1
UVｶｯﾄ・, 複合語, 1
分優れ, 複合語, 1
ノンコメドジェニック, 名詞, 1
スムースジェルファンデーション, 名詞, 1
安目, 複合語, 1
肌ﾄﾗﾌﾞﾙ, 複合語, 1
つられる, 動詞, 1
一年中, 複合語, 1
ブランドイメージ自体, 複合語, 1
なじみ感, 複合語, 1
塗りたくる, 動詞, 1
為購入, 複合語, 1
カラーコントロール下地, 複合語, 1
見付ける, 動詞, 1
さらに, 副詞, 1
通信信販売, 複合語, 1
コンシーラファンデーション, 名詞, 1
大切, 名詞, 1
カタログ, 名詞, 1
乳児, 名詞, 1
びがよくさっと付き, 複合語, 1
２０００, 複合語, 1
ツーウェイファンデーション, 名詞, 1
合成保存料, 複合語, 1
割合カバー, 複合語, 1
つかる, 動詞, 1
アベンヌ, 名詞, 1
紫外線カット効果, 複合語, 1
おしゃれカワイイ, 複合語, 1
割引率, 複合語, 1
大量, 名詞, 1
綺麗化粧崩れ, 複合語, 1
数, 名詞, 1
エアータッチファンデーション, 名詞, 1
スクワラン配合, 複合語, 1
生活紫外線防止配合, 複合語, 1
ありがたい, 形容詞, 1
皮膚生理学的, 複合語, 1
オイル成分, 複合語, 1
肌浮き, 複合語, 1
方法, 名詞, 1
おなじ, 連体詞, 1
!!!, 名詞, 1
なじみ化粧, 複合語, 1
しんぱい, 名詞, 1
びがよくむらになりにくい, 名詞, 1
混合肌用, 複合語, 1
ＵＶファンディーション, 複合語, 1
メジャー, 名詞, 1
きれいさ, 複合語, 1
確実, 名詞, 1
タール色素, 複合語, 1
どめ効果, 複合語, 1
本来, 名詞, 1
ボトルデザイン, 複合語, 1
下, 名詞, 1
惰性, 名詞, 1
きり, 名詞, 1
づれにくい, 名詞, 1
化粧独特, 複合語, 1
すう, 動詞, 1
尚, 接続詞, 1
づける, 動詞, 1
加藤あいのCM, 複合語, 1
ベージュオークル１１使用中, 複合語, 1
何時, 名詞, 1
ことケース, 複合語, 1
潤い成分, 複合語, 1
ベンリ, 名詞, 1
5500円, 複合語, 1
どんなに, 副詞, 1
悪影響, 名詞, 1
あまり色, 複合語, 1
死ぬ, 動詞, 1
被れる, 動詞, 1
基礎化粧, 複合語, 1
べた付く, 動詞, 1
トリートメント, 名詞, 1
スマート, 名詞, 1
通販化粧品, 複合語, 1
日焼, 複合語, 1
ＵＶ対策値段, 複合語, 1
力強い, 形容詞, 1
カバーリング, 複合語, 1
びがいいいから, 名詞, 1
ケイト, 名詞, 1
皮脂崩れ, 複合語, 1
直ぐに, 副詞, 1
きえる, 動詞, 1
装着, 名詞, 1
shuuemura, 複合語, 1
きちっと, 副詞, 1
不使用安心, 複合語, 1
ファンデーションケース, 複合語, 1
ぁ, 名詞, 1
ＵＶ防止効果, 複合語, 1
紫外線吸収体, 複合語, 1
テカリ・べたつき, 複合語, 1
１０年来, 複合語, 1
保つ, 動詞, 1
美容院, 複合語, 1
ぴったり, 名詞, 1
石けん, 名詞, 1
新作, 名詞, 1
腕, 名詞, 1
水両用タイプ, 複合語, 1
ニュースキン, 複合語, 1
コンパクトガシンプル, 名詞, 1
平ら, 名詞, 1
脂肌, 複合語, 1
落ちつく, 動詞, 1
やわらげる, 動詞, 1
手ごろどこ, 複合語, 1
はっきり, 副詞, 1
ここちよい, 形容詞, 1
跳ね返す, 動詞, 1
段, 名詞, 1
