SEQ,,合計,ドラッグストア,デパート,ブランド専門のインターネット通信販売,大型スーパー,化粧品専門店,インターネット以外の通信販売,その他,ディスカウント系のインターネット通信販売,バラエティショップ,コンビニエンスストア,食品スーパー,ディスカウントショップ（ドンキホーテ等）,ホームセンター
1277,評価,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1278,化学薬品,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1279,しっくり,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1280,ナノ化粧品,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1281,カバー力透明感,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1282,PAとも,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1283,色(ベージュオークル),1,1,0,0,0,0,0,0,0,0,0,0,0,0
1284,伸びがよくつけたときのもったり感,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1285,無添加紫外線対策,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1286,伸びがよくつけたあとさらっとしている,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1287,きれいさ,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1288,数年,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1289,立体メイク,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1290,スプレータイプ,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1291,ミントグリーン,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1292,♪）ところ,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1293,隠れ素肌感覚,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1294,パウダーファン,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1295,ストレス,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1296,TゾーンUゾーン,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1297,アベンヌ,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1298,リーゾナブル,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1299,リキッドタイプノビ,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1300,びんかん肌,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1301,CM通り肌,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1302,半練り状,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1303,外国,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1304,絹,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1305,友人等,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1306,あと肌,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1307,フタ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1308,化粧モチ効果,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1309,矢田さん,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1310,イヤ,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1311,アミノ酸,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1312,ゲル,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1313,SPFつき,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1314,買い物,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1315,限定,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1316,斑,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1317,かぶれ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1318,日焼け止めクリ,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1319,かさかさ,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1320,綺麗化粧崩れ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1321,マッサージクリーム,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1322,くるみ,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1323,キャンペーン中,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1324,かお,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1325,好き色合い,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1326,メイクアップ,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1327,手ごろ見た目,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1328,お試し,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1329,しっとり感自然,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1330,精神的,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1331,紫外線カット効果,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1332,万人向け,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1333,ところ使い,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1334,CM性,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1335,ぎとぎとしない,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1336,水玉模様,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1337,びがよいさらっとした感触,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1338,付き･ノビ･持ち,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1339,為崩れ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1340,雑誌,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1341,混入,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1342,24時間,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1343,なじみ乾燥防止効果,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1344,なじみ化粧,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1345,はて,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1346,色あい,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1347,ＵＶ防止効果,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1348,びやつきがよい,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1349,サプリメント,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1350,漢方薬,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1351,付けごこち,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1352,ウォーターファンデーション,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1353,シ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1354,ジェル,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1355,ゾーン,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1356,天然系,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1357,化粧独特,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1358,無駄二乾燥,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1359,ワントーンきれい,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1360,ごと,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1361,びがよくて,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1362,ケイト,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1363,ノエビア,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1364,毎月,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1365,練りタイプ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1366,ベビー用品,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1367,パク,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1368,ところ化粧,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1369,同年代,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1370,位,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1371,４色,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1372,アクネケア,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1373,超微粒子,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1374,為購入,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1375,市販,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1376,びがよくてつけやすいところ,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1377,色もち,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1378,資生堂商品,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1379,異常,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1380,づつ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1381,異様,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1382,SPF15,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1383,マル,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1384,あと自然,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1385,塗り感,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1386,カネボウ商品,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1387,天然成分原料,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1388,今はやり,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1389,細部,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1390,無事,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1391,嫌味,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1392,天然原料,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1393,セミフォーマル,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1394,薄化粧風,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1395,加減,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1396,ファウンデーション,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1397,再生,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1398,ところスポンジ,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1399,ブランド力,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1400,馴染み化粧崩れ,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1401,'ＤＳ',1,1,0,0,0,0,0,0,0,0,0,0,0,0
1402,限り合成成分,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1403,不快感,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1404,なに,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1405,石けん,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1406,オーダーメイド,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1407,セルフ,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1408,おし,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1409,ローズ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1410,清潔感いっぱい,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1411,estリキッド,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1412,潤い持続,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1413,伸び塗り斑,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1414,霧,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1415,7-8000円,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1416,使用原料表示,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1417,手抜き,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1418,セルフコスメ,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1419,夏冬,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1420,化粧モチ,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1421,カバー感,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1422,ファンデーション以外,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1423,自分の,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1424,夏用ファンデーション,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1425,ニキビ対応,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1426,105円,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1427,値段デザイン,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1428,無香料１つ,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1429,ブラウディア,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1430,まわり,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1431,無し,1,0,1,0,0,0,0,0,0,0,0,0,0,0
